timestamp_start,timestamp_end,latency_ms,request_id,project_id,book_id,row_id,phase,user_action,type,model,status,tokens_input,tokens_output,image_size,image_quality,retry_count,approval_outcome,pricing_version,cost_estimated,error
2026-02-06T13:30:10.638991+00:00,2026-02-06T13:30:36.301414+00:00,25662,3c6cd413-712b-4186-a000-4c71f4c0f6f2,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1610,1768,,,0,na,2026-02,0.0034728,
2026-02-06T13:30:36.301414+00:00,2026-02-06T13:30:44.666834+00:00,8365,1f3fd25b-8d34-45e7-b547-5f7349da3f4d,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1689,379,,,0,na,2026-02,0.001282,
2026-02-06T13:31:54.025077+00:00,2026-02-06T13:32:27.837793+00:00,33812,6eecdd62-acd4-4fd4-91b0-9e9547057deb,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1469,1803,,,0,na,2026-02,0.0034723999999999996,
2026-02-06T13:32:27.837793+00:00,2026-02-06T13:32:57.183961+00:00,29346,caefbd7d-bf50-4ada-949b-88ff9e30feaf,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1529,1844,,,0,na,2026-02,0.0035619999999999996,
2026-02-06T13:32:57.185471+00:00,2026-02-06T13:33:05.031911+00:00,7846,133ff0bd-8ac3-4f25-9dd1-e289ad0fb598,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1610,397,,,0,na,2026-02,0.0012791999999999999,
2026-02-06T14:06:29.016076+00:00,2026-02-06T14:06:54.641810+00:00,25625,d3325df7-ab45-4906-8ee7-4520d1cf09ad,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1676,1807,,,0,na,2026-02,0.0035616,
2026-02-06T14:06:54.643811+00:00,2026-02-06T14:07:37.852588+00:00,43208,92eb6e9e-5e93-402f-a262-a43eebf02c6a,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1743,1958,,,0,na,2026-02,0.0038299999999999996,
2026-02-06T14:07:37.864354+00:00,2026-02-06T14:07:47.491374+00:00,9627,8d8b73a3-d872-4c00-8a44-1ce2f7ade470,Europa para colorear,Europa para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1823,441,,,0,na,2026-02,0.0014348,
2026-02-06T14:51:52.403966+00:00,2026-02-06T14:52:22.503678+00:00,30099,f3c71322-afd6-41c8-935d-c485c240897b,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1744,1947,,,0,na,2026-02,0.0038128,
2026-02-06T14:52:22.505388+00:00,2026-02-06T14:52:51.283298+00:00,28777,4a84f35a-85fc-4ceb-8492-d4948f5fa9f8,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1822,1793,,,0,na,2026-02,0.0035976,
2026-02-06T14:52:51.286158+00:00,2026-02-06T14:53:25.613859+00:00,34327,010814fc-1116-487f-b3bc-5e41bb7b3530,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1899,2006,,,0,na,2026-02,0.0039692,
2026-02-06T14:53:25.615865+00:00,2026-02-06T14:53:50.611915+00:00,24996,6eef38ba-5451-47d0-8598-2a7960873498,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1975,1806,,,0,na,2026-02,0.0036796,
2026-02-06T14:53:50.618126+00:00,2026-02-06T14:54:23.053150+00:00,32435,541ffeea-17a0-4018-b815-c5d7cc9db885,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,2046,1767,,,0,na,2026-02,0.0036455999999999997,
2026-02-06T15:01:21.272838+00:00,2026-02-06T15:01:51.146250+00:00,29873,4c7ab4e1-6ce0-4db5-b4d7-54372d4d9153,Peru para colorear,Peru para colorear,001,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1024,low,0,na,2026-02,0.009,
2026-02-06T15:03:22.529266+00:00,2026-02-06T15:03:42.464286+00:00,19935,a14b89b9-8754-4ad8-93e9-a8ade0f5012b,Peru para colorear,Peru para colorear,002,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1024,low,0,na,2026-02,0.009,
2026-02-06T15:14:34.186378+00:00,2026-02-06T15:14:58.443034+00:00,24256,a052ca8f-76b2-45a6-bb38-990c729614f4,Peru para colorear,Peru para colorear,003,image_generation,single,generate_image,gpt-image-1.5,success,,,1024x1024,low,0,na,2026-02,0.009,
2026-02-06T15:23:20.209790+00:00,2026-02-06T15:23:58.049256+00:00,37839,305c89b2-b7b0-49cd-8231-ef20c2555bec,Peru para colorear,Peru para colorear,004,image_generation,single,generate_image,gpt-image-1-mini,success,,,1024x1536,low,0,na,2026-02,0.006,
2026-02-06T16:55:09.486266+00:00,2026-02-06T16:55:28.329139+00:00,18842,07c4a6eb-de4e-4d2c-97de-ba340c9e03f4,Peru para colorear,Peru para colorear,005,image_generation,single,generate_image,gpt-image-1-mini,success,,,1024x1536,low,0,na,2026-02,0.006,
2026-02-06T17:07:04.637748+00:00,2026-02-06T17:07:04.912445+00:00,274,8b579302-5591-494c-80f5-cc89a1f70993,Peru para colorear,Peru para colorear,006,image_generation,single,generate_image,dall-e-3,error,,,1024x1792,,0,na,2026-02,0.0,"Error code: 400 - {'error': {'message': ""Invalid value: 'low'. Supported values are: 'standard' and 'hd'."", 'type': 'invalid_request_error', 'param': 'quality', 'code': 'invalid_value'}}"
2026-02-06T17:07:13.436952+00:00,2026-02-06T17:07:13.644596+00:00,207,e31e8050-b78a-483a-aa8e-c4b3219de7f2,Peru para colorear,Peru para colorear,006,image_generation,single,generate_image,dall-e-3,error,,,1024x1792,,0,na,2026-02,0.0,"Error code: 400 - {'error': {'message': ""Invalid value: 'low'. Supported values are: 'standard' and 'hd'."", 'type': 'invalid_request_error', 'param': 'quality', 'code': 'invalid_value'}}"
2026-02-06T17:07:24.993650+00:00,2026-02-06T17:08:02.177853+00:00,37184,52409a4e-9302-4120-abc9-99ef2c0db181,Peru para colorear,Peru para colorear,006,image_generation,single,generate_image,gpt-image-1,success,,,1024x1536,low,0,na,2026-02,0.016,
2026-02-06T17:11:35.594556+00:00,2026-02-06T17:12:08.961393+00:00,33366,ba7c9ba8-1f89-4814-807b-fb5ec12e0aac,Peru para colorear,Peru para colorear,007,image_generation,single,generate_image,gpt-image-1,success,,,1024x1536,low,0,na,2026-02,0.016,
2026-02-06T17:18:14.119441+00:00,2026-02-06T17:18:36.148180+00:00,22028,f0534fa1-9fbf-448c-844b-5507fc43a059,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1744,1603,,,0,na,2026-02,0.0032624,
2026-02-06T17:29:09.878299+00:00,2026-02-06T17:29:38.019527+00:00,28141,383bc17c-df57-4fbf-8ded-2fac1db6ff75,Peru para colorear,Peru para colorear,,book_planning,batch,generate_book_batch,gpt-4.1-mini,success,1744,1757,,,0,na,2026-02,0.0035088,
